timestep,ax,ay,az,gx,gy,gz,flex1,flex2,flex3,flex4,flex5
1,-457.0,-577.0,763.0,25.0,0.0,9.0,141,95,102,107,131
2,-459.0,-629.0,752.0,12.0,-6.0,1.0,155,107,124,119,141
3,-457.0,-577.0,763.0,25.0,0.0,9.0,141,95,102,107,131
4,-493.0,-533.0,737.0,4.0,4.0,-1.0,154,110,133,127,150
5,-478.0,-550.0,728.0,-1.0,-2.0,0.0,137,93,119,110,135
6,-445.0,-544.0,736.0,0.0,-4.0,1.0,154,110,130,129,150
7,-439.0,-535.0,764.0,6.0,0.0,0.0,152,117,140,133,158
8,-450.0,-504.0,771.0,-3.0,5.0,-2.0,158,115,136,132,157
9,-453.0,-563.0,722.0,-3.0,0.0,-3.0,158,117,134,134,157
10,-475.0,-554.0,737.0,3.0,1.0,3.0,160,118,136,135,158
11,-479.0,-494.0,732.0,-4.0,1.0,-1.0,137,94,117,112,136
12,-475.0,-531.0,725.0,-6.0,0.0,-3.0,139,98,122,115,137
13,-481.0,-537.0,719.0,-3.0,0.0,-2.0,144,103,122,120,143
14,-489.0,-544.0,715.0,0.0,0.0,-2.0,146,106,127,124,147
15,-463.0,-521.0,727.0,-1.0,0.0,-3.0,149,109,128,125,149
16,-475.0,-558.0,737.0,-2.0,1.0,-2.0,158,117,135,130,153
17,-454.0,-557.0,731.0,1.0,-2.0,-2.0,157,120,137,135,157
18,-455.0,-558.0,736.0,-2.0,-1.0,0.0,159,118,139,136,158
19,-444.0,-545.0,728.0,-2.0,-2.0,0.0,147,108,126,122,145
20,-457.0,-550.0,734.0,-3.0,1.0,0.0,141,100,121,114,138
21,-475.0,-534.0,715.0,0.0,-1.0,1.0,139,93,111,110,134
22,-481.0,-528.0,726.0,-1.0,-5.0,0.0,139,98,121,113,137
23,-475.0,-541.0,754.0,-4.0,-3.0,-1.0,153,114,136,130,151
24,-474.0,-539.0,742.0,-2.0,0.0,0.0,151,112,133,129,151
25,-484.0,-535.0,726.0,-1.0,-1.0,-1.0,156,116,138,133,156
26,-478.0,-540.0,729.0,-2.0,-2.0,-1.0,151,118,139,138,156
27,-469.0,-542.0,744.0,-2.0,-1.0,-1.0,157,118,139,136,156
28,-460.0,-542.0,751.0,0.0,0.0,-1.0,135,95,117,111,134
29,-462.0,-547.0,749.0,-3.0,2.0,-1.0,143,102,126,120,142
30,-455.0,-535.0,734.0,-6.0,0.0,-2.0,142,100,124,120,143
31,-450.0,-549.0,727.0,-5.0,-2.0,-1.0,138,102,122,117,141
32,-458.0,-558.0,741.0,-3.0,0.0,0.0,149,106,132,124,145
33,-477.0,-540.0,727.0,-1.0,0.0,1.0,156,116,140,137,156
