timestamp,ax,ay,az,gx,gy,gz,flex1,flex2,flex3,flex4,flex5,emg1,emg2,emg3
2025-02-20 16:33:29.821,-345.0,-156.0,971.0,8.0,-2.0,0.0,127,105,96,124,112,469,464,463
2025-02-20 16:33:29.821,-341.0,-149.0,984.0,7.0,0.0,0.0,129,104,98,125,112,468,463,462
2025-02-20 16:33:29.837,-349.0,-125.0,979.0,7.0,2.0,-1.0,129,105,97,126,113,467,463,463
2025-02-20 16:33:29.839,-358.0,-118.0,970.0,5.0,2.0,-2.0,131,104,97,126,113,467,464,463
2025-02-20 16:33:29.841,-347.0,-125.0,969.0,2.0,1.0,-2.0,128,104,97,126,112,465,464,464
2025-02-20 16:33:29.843,-349.0,-138.0,948.0,0.0,-1.0,-3.0,129,104,97,127,112,464,463,465
2025-02-20 16:33:29.847,-350.0,-146.0,982.0,0.0,0.0,-2.0,128,104,97,124,113,464,461,465
2025-02-20 16:33:29.850,-341.0,-163.0,983.0,1.0,1.0,-2.0,130,104,97,125,113,464,460,465
2025-02-20 16:33:29.867,-337.0,-119.0,979.0,1.0,2.0,-2.0,129,105,96,126,113,462,459,465
2025-02-20 16:33:29.887,-337.0,-119.0,977.0,-2.0,3.0,-3.0,130,104,96,125,112,464,459,466
2025-02-20 16:33:29.904,-338.0,-123.0,966.0,-5.0,4.0,-4.0,129,105,97,127,111,461,459,466
2025-02-20 16:33:29.924,-332.0,-143.0,955.0,-5.0,4.0,-4.0,128,103,97,127,113,461,460,465
2025-02-20 16:33:29.944,-338.0,-153.0,942.0,-3.0,3.0,-3.0,128,105,97,127,112,462,462,466
2025-02-20 16:33:29.961,-333.0,-145.0,942.0,-1.0,3.0,-3.0,129,104,98,125,112,463,463,465
2025-02-20 16:33:29.981,-339.0,-147.0,944.0,0.0,4.0,-3.0,128,105,97,126,112,464,465,465
2025-02-20 16:33:30.001,-341.0,-144.0,941.0,1.0,3.0,-2.0,129,105,97,126,112,463,465,464
2025-02-20 16:33:30.019,-353.0,-134.0,937.0,1.0,2.0,-1.0,130,104,97,126,111,463,465,463
2025-02-20 16:33:30.037,-355.0,-135.0,935.0,1.0,0.0,-1.0,129,106,98,126,113,464,466,463
2025-02-20 16:33:30.059,-361.0,-139.0,939.0,0.0,1.0,-1.0,129,104,98,126,113,464,467,462
2025-02-20 16:33:30.076,-357.0,-124.0,948.0,1.0,0.0,-1.0,129,105,98,126,112,465,467,461
2025-02-20 16:33:30.096,-357.0,-126.0,938.0,-2.0,1.0,-2.0,129,104,98,126,112,467,468,462
2025-02-20 16:33:30.113,-360.0,-141.0,935.0,-5.0,0.0,-3.0,128,104,96,127,113,466,467,463
2025-02-20 16:33:30.133,-353.0,-156.0,942.0,-5.0,0.0,-2.0,130,104,97,126,113,466,465,463
